"DIVISION","REGIONC","UATYP10","CLIMATE_REGION_PUB","TYPEHUQ","YEARMADERANGE","TOTROOMS","NHSLDMEM","KOWNRENT","ELPAY","TOTSQFT_EN","KWH","CUFEETNG","GALLONLP","BTUFO","elec_per_sqft","ntrlgas_per_sqft","propane_per_sqft","fueloil_per_sqft"
"Pacific","South","Urban area","Hot-Humid","2","2000s",9,3,1,"1",3350,18387.679,0,0,0,5.48885940298507,0,0,0
"West South Central","West","Urban area","Marine","2","1990s",12,3,1,"1",3466,9556.467,382.2,0,0,2.75720340450087,0.110271206001154,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1980s",5,2,2,"1",902,6261.273,97.503,0,0,6.941544345898,0.10809645232816,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","2000s",8,5,1,"1",2976,23306.628,0,274.264,0,7.83152822580645,0,0.0921586021505376,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1980s",3,2,2,"2",775,7956,33.75,0,34214.008,10.2658064516129,0.0435483870967742,0,44.1471070967742
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","* to 1950",5,6,2,"1",806,7329.808,801.062,0,0,9.09405459057072,0.993873449131514,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","2","* to 1950",6,3,1,"1",1975,8486.834,1167.152,0,0,4.29713113924051,0.590963037974684,0,0
"Pacific","South","Urban area","Hot-Humid","2","1950s",4,1,2,"1",896,6914.13,400.4,0,0,7.71666294642857,0.446875,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",3,1,2,"1",551,2404.596,220.068,0,0,4.36405807622504,0.399397459165154,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","4","1950s",6,3,1,"1",1050,4463.25,1432.529,0,0,4.25071428571429,1.36431333333333,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","* to 1950",3,1,2,"1",1177,5151.079,82.086,0,0,4.37644774851317,0.0697417162276975,0,0
"New England","South","Urban cluster","Mixed-Humid","1","1970s",6,2,1,"1",1298,18275.602,0,0,0,14.0798166409861,0,0,0
"West South Central","West","Urban area","Marine","2","1970s",9,2,1,"1",3512,11291.772,746.758,0,0,3.21519703872437,0.212630410022779,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","1990s",7,4,1,"1",3528,11449.457,0,1124.881,0,3.24531094104308,0,0.318843820861678,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1980s",7,2,1,"1",3696,5590.643,0,0,98500.284,1.51261985930736,0,0,26.6505097402597
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",9,5,1,"1",1900,16736.4,513.913,0,0,8.80863157894737,0.27048052631579,0,0
"West South Central","West","Rural area","Marine","2","1970s",7,2,1,"1",1920,25525.813,0,180.123,0,13.2946942708333,0,0.0938140625,0
"Mountain South","South","Urban area","Hot-Humid","5","2000s",5,1,2,"1",810,8519.792,0,0,0,10.5182617283951,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1990s",6,2,1,"1",2998,7991,0,486.706,0,2.66544362908606,0,0.162343562374917,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","1980s",7,1,1,"1",2500,5722.373,908.627,0,0,2.2889492,0.3634508,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1950s",3,1,2,"1",430,4188.683,57.967,0,0,9.74112325581395,0.134806976744186,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","2000s",9,3,1,"1",3034,9277.548,1144.978,0,0,3.0578602504944,0.377382333553065,0,0
"West South Central","West","Rural area","Hot-Dry/Mixed-Dry","2","1980s",5,2,1,"1",2014,10358.744,0,796.308,0,5.14336842105263,0,0.3953862959285,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1960s",3,3,1,"1",2097,12166.107,0,0,0,5.80167238912732,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","1990s",5,1,1,"1",1622,9745.571,424.297,0,0,6.00836683107275,0.261588779284834,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","5","2000s",6,2,2,"1",1012,6005.194,0,0,0,5.9339861660079,0,0,0
"Mountain South","South","Urban area","Hot-Humid","5","2000s",4,3,2,"1",1012,11462,0,0,0,11.3260869565217,0,0,0
"Middle Atlantic","Midwest","Urban cluster","Cold/Very Cold","5","2000s",5,2,2,"1",967,4124.097,242.517,0,0,4.26483660806618,0.250793174767322,0,0
"West South Central","West","Urban area","Marine","3","1970s",5,1,1,"1",1055,9762.535,790.493,0,0,9.25358767772512,0.749282464454976,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","1","1970s",6,4,1,"1",1536,15015,0,26.297,65978.952,9.775390625,0,0.0171204427083333,42.955046875
"Mountain South","South","Urban area","Mixed-Humid","3","1990s",4,1,1,"1",1038,5730.021,317.149,0,0,5.5202514450867,0.305538535645472,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","* to 1950",8,4,1,"1",2673,29380.323,0,0,65945.076,10.9915162738496,0,0,24.670810325477
"Mountain South","South","Urban area","Hot-Humid","2","1980s",7,4,1,"1",1058,22464.928,0,0,0,21.2333913043478,0,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1990s",8,2,1,"1",3632,21700.706,14.885,163.429,0,5.97486398678414,0.00409829295154185,0.0449969713656388,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1980s",6,3,1,"1",1868,6432.895,1364.635,0,0,3.44373394004283,0.730532655246253,0,0
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","1990s",8,4,1,"1",2470,15536.653,0,709.959,0,6.29014291497976,0,0.287432793522267,0
"New England","South","Urban area","Mixed-Humid","4","1990s",4,1,1,"1",1120,9083.726,0,6.779,0,8.11046964285714,0,0.00605267857142857,0
"Pacific","South","Rural area","Hot-Humid","2","2000s",7,2,1,"1",2876,12010.375,0,535.253,0,4.17606919332406,0,0.186110222531293,0
"West South Central","West","Urban area","Marine","2","1970s",9,2,1,"1",2452,19061.971,0,0,0,7.77405016313214,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","* to 1950",7,2,2,"1",2142,6118.183,1201.202,0,0,2.85629458450047,0.560785247432306,0,0
"West South Central","West","Rural area","Hot-Dry/Mixed-Dry","2","1990s",7,5,1,"1",2448,11343.3,0,282.284,0,4.63370098039216,0,0.115312091503268,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","1","1960s",3,3,1,"1",770,3909,416.509,0,0,5.07662337662338,0.540920779220779,0,0
"East South Central","Northeast","Urban cluster","Cold/Very Cold","2","1950s",10,3,1,"1",2100,13167.286,734.479,0,0,6.27013619047619,0.349751904761905,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","* to 1950",6,4,1,"1",980,16042.636,950.359,0,0,16.3700367346939,0.969754081632653,0,0
"West North Central","West","Urban area","Cold/Very Cold","2","2000s",8,2,1,"1",2750,20691.353,1051.8,0,0,7.52412836363636,0.382472727272727,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1980s",5,2,1,"1",1043,6610.63,180.235,0,0,6.338092042186,0.172804410354746,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",4,1,1,"1",765,2396,200.375,0,0,3.13202614379085,0.261928104575163,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1990s",9,2,1,"1",3572,5643.43,1330.781,0,0,1.57990761478164,0.372559070548712,0,0
"Mountain South","South","Rural area","Mixed-Humid","5","1950s",4,2,2,"1",941,7693.865,91.885,0,0,8.17626461211477,0.0976461211477152,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",5,4,2,"2",826,3769,155.701,0,0,4.56295399515739,0.1885,0,0
"West South Central","West","Urban area","Marine","2","* to 1950",6,5,2,"1",1125,17938.768,357.967,0,0,15.9455715555556,0.318192888888889,0,0
"Mountain South","South","Urban area","Hot-Humid","1","2000s",3,5,1,"1",717,7094.665,0,0,0,9.89493026499303,0,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","1970s",8,3,3,"9",1440,14130.556,1014.362,0,0,9.81288611111111,0.704418055555555,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","2","1950s",5,2,1,"1",1714,7116.028,1488.329,0,0,4.15170828471412,0.868336639439907,0,0
"Pacific","South","Urban area","Hot-Humid","2","1980s",10,4,1,"1",8501,50589.284,539.149,0,0,5.95098035525232,0.0634218327255617,0,0
"West South Central","West","Urban area","Marine","2","1950s",8,2,1,"1",2976,6395.375,973.431,0,0,2.14898353494624,0.32709375,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","1","1970s",4,3,2,"1",902,13939.158,0,442.51,0,15.4536119733925,0,0.490587583148559,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","4","1970s",3,2,2,"1",1232,14486.827,0,0,0,11.7587881493506,0,0,0
"Pacific","South","Urban area","Hot-Humid","3","2000s",5,3,2,"1",1316,18505.681,0,0,0,14.0620676291793,0,0,0
"West South Central","West","Rural area","Marine","2","* to 1950",6,4,2,"1",3496,4659.575,0,388.781,0,1.33283037757437,0,0.1112073798627,0
"Mountain South","South","Urban area","Mixed-Humid","2","* to 1950",5,2,1,"1",1000,11313.952,304.853,0,19839.357,11.313952,0.304853,0,19.839357
"East South Central","Northeast","Urban area","Cold/Very Cold","5","1970s",5,2,2,"1",796,8424.484,0,0,0,10.5835226130653,0,0,0
"Pacific","South","Urban cluster","Hot-Humid","2","2000s",4,3,1,"1",1360,14992.848,0,0,0,11.0241529411765,0,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1990s",5,1,1,"1",3110,8206.235,0,0,0,2.63866077170418,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","5","1970s",4,1,2,"1",600,9632.476,0,0,27137.117,16.0541266666667,0,0,45.2285283333333
"East South Central","Northeast","Urban area","Cold/Very Cold","2","1980s",10,3,1,"1",4690,14967,931.387,0,0,3.19125799573561,0.198589978678038,0,0
"New England","South","Urban area","Hot-Humid","2","1980s",9,2,1,"1",2986,23175.947,0,0,0,7.76153616878768,0,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","1950s",6,2,1,"1",3024,5447.302,331.841,0,0,1.80135648148148,0.10973578042328,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","1960s",10,4,1,"1",3854,14523.028,1430.559,0,0,3.76829994810586,0.371188116242865,0,0
"New England","South","Urban area","Hot-Humid","2","1950s",7,2,1,"1",1815,11467.715,184.239,0,0,6.31830027548209,0.101509090909091,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","1","1980s",6,3,1,"1",600,9729,0,0,0,16.215,0,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","3","1980s",4,2,2,"1",1034,6245.657,501.961,0,0,6.04028723404255,0.485455512572534,0,0
"West North Central","West","Urban area","Cold/Very Cold","2","2000s",8,3,1,"1",2018,6486.451,707.508,0,0,3.21429682854311,0.350598612487612,0,0
"West South Central","West","Urban area","Cold/Very Cold","1","1960s",4,2,1,"1",1159,16981.146,0,0,0,14.6515496117343,0,0,0
"Mountain South","South","Urban cluster","Mixed-Humid","2","1960s",9,2,1,"1",5106,19746,0,0,0,3.86721504112808,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","1980s",1,2,2,"1",425,12886.576,0,0,0,30.3213552941176,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1980s",5,3,2,"1",1255,10774.055,215.457,0,0,8.58490438247012,0.171678884462151,0,0
"Pacific","South","Urban area","Mixed-Humid","2","* to 1950",5,2,1,"1",1199,22197,0,0,0,18.5129274395329,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1980s",4,2,2,"1",1150,2807.467,244.19,0,0,2.44127565217391,0.212339130434783,0,0
"New England","South","Rural area","Mixed-Humid","2","1950s",5,3,1,"1",2605,19837.543,0,0,0,7.61517965451056,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1960s",8,2,1,"1",2385,6208.812,532.115,0,0,2.60327547169811,0.223109014675052,0,0
"West South Central","West","Urban area","Marine","2","1990s",7,2,1,"1",2081,15358.383,333.38,0,0,7.38028976453628,0.160201826045171,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","5","1980s",4,2,2,"1",949,4263.912,0,0,0,4.49305795574289,0,0,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","2","* to 1950",9,2,1,"1",3328,13417.387,0,781.247,0,4.03166676682692,0,0.234749699519231,0
"Pacific","South","Rural area","Mixed-Humid","2","1980s",5,4,1,"1",1440,20752.977,0,0,0,14.4117895833333,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","* to 1950",8,2,1,"1",2450,6559.578,868.206,0,0,2.6773787755102,0.354369795918367,0,0
"Pacific","South","Urban area","Hot-Humid","2","1980s",10,2,1,"1",2900,22221.788,582.242,0,0,7.66268551724138,0.200773103448276,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1980s",6,2,1,"1",1784,13202.23,16.826,0,0,7.40035313901345,0.00943161434977578,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","5","1970s",3,1,2,"1",861,3238.728,0,0,0,3.76158885017422,0,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1960s",5,3,1,"1",1140,14783.053,0,0,0,12.9675903508772,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1960s",6,1,1,"1",1110,6729,144.684,0,0,6.06216216216216,0.130345945945946,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1990s",8,3,1,"1",3210,9636.118,761.646,0,0,3.00190591900312,0.237272897196262,0,0
"West South Central","West","Urban area","Marine","2","* to 1950",5,1,1,"1",1982,1466.094,332.237,0,0,0.739704339051463,0.167627144298688,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","2010 to 2015",11,4,1,"1",7069,16854.908,1729.202,0,0,2.38434120809167,0.244617626255482,0,0
"West South Central","West","Urban area","Cold/Very Cold","2","* to 1950",7,2,1,"1",2250,12544.441,0,0,0,5.57530711111111,0,0,0
"Middle Atlantic","Midwest","Urban cluster","Cold/Very Cold","2","1970s",6,1,1,"1",2620,7424.688,404.312,0,0,2.83385038167939,0.154317557251908,0,0
"Mountain South","South","Urban area","Hot-Humid","5","2000s",4,2,2,"1",687,8975.442,0,0,0,13.0646899563319,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1980s",7,1,1,"1",3798,8640,682.596,0,0,2.27488151658768,0.179725118483412,0,0
"Pacific","South","Urban area","Hot-Humid","2","1980s",9,4,1,"1",2700,20605.912,0,0,0,7.63181925925926,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",9,2,1,"1",2050,7957.704,374.626,0,0,3.88180682926829,0.182744390243902,0,0
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","1950s",10,1,1,"1",4284,11131.668,0,904.431,0,2.59842857142857,0,0.211118347338936,0
"New England","South","Rural area","Hot-Humid","2","1960s",4,2,1,"1",760,6253.667,0,747.16,0,8.22850921052632,0,0.983105263157895,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","2000s",1,1,2,"1",616,1967.507,225.644,0,0,3.19400487012987,0.366305194805195,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","* to 1950",8,2,1,"1",4375,13855.147,0,960.311,0,3.16689074285714,0,0.219499657142857,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","* to 1950",1,1,3,"9",264,1086,66.824,0,0,4.11363636363636,0.253121212121212,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","1990s",7,5,1,"1",3350,4264.693,0,268.66,0,1.27304268656716,0,0.0801970149253731,0
"West South Central","West","Urban area","Marine","4","2000s",4,3,2,"1",1052,9857.931,0,0,0,9.37065684410647,0,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","2","* to 1950",9,2,1,"1",3360,6423.796,0,0,149049.07,1.91184404761905,0,0,44.3598422619048
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",6,1,1,"1",2182,5062.515,563.422,0,0,2.32012603116407,0.258213565536205,0,0
"West South Central","West","Urban cluster","Hot-Dry/Mixed-Dry","4","1980s",6,3,2,"2",774,8970,188.326,0,0,11.5891472868217,0.243315245478036,0,0
"West South Central","West","Urban area","Marine","4","1950s",1,3,2,"2",833,6879,259.425,0,0,8.25810324129652,0.311434573829532,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1960s",6,4,2,"3",1736,8017,789.906,0,0,4.61808755760369,0.455014976958525,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",9,4,1,"1",3096,10202.667,512.304,0,0,3.29543507751938,0.165472868217054,0,0
"West South Central","West","Urban area","Marine","5","1980s",3,4,2,"1",815,3649.695,290.886,0,0,4.47815337423313,0.356915337423313,0,0
"Mountain South","South","Urban area","Hot-Humid","5","2000s",5,2,2,"1",1280,10596.781,0,0,0,8.27873515625,0,0,0
"New England","South","Rural area","Mixed-Humid","2","1970s",6,4,1,"1",2552,22618.033,0,0,0,8.86286559561129,0,0,0
"Pacific","South","Urban area","Hot-Humid","2","* to 1950",5,3,1,"1",1061,14577.059,598.588,0,0,13.7389811498586,0.56417342130066,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","1960s",6,1,1,"1",3056,6130.91,1118.74,0,0,2.00618782722513,0.366079842931937,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1980s",3,1,2,"1",720,3664.243,55.061,0,0,5.08922638888889,0.0764736111111111,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1950s",7,2,1,"1",2078,12306.353,598.501,0,0,5.92221029836381,0.288017805582291,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1950s",5,2,1,"1",2711,5007.412,0,207.162,58421.798,1.84707192917743,0,0.0764153448911841,21.5499070453707
"Pacific","South","Urban area","Hot-Humid","2","1950s",6,1,1,"1",1536,5263.029,324.981,0,0,3.426451171875,0.211576171875,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1960s",8,1,1,"1",1600,22553.938,0,0,0,14.09621125,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1970s",6,2,1,"1",2425,9813.966,900.618,0,0,4.04699628865979,0.371388865979381,0,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","2","2000s",11,6,1,"1",3610,24095.15,0,0,0,6.6745567867036,0,0,0
"New England","South","Rural area","Hot-Humid","1","1980s",6,2,2,"1",1200,8624.364,0,112.402,0,7.18697,0,0.0936683333333333,0
"West South Central","West","Urban area","Marine","2","1950s",5,2,1,"1",1224,6123.56,321.619,0,0,5.00290849673203,0.262760620915033,0,0
"Mountain South","South","Urban cluster","Mixed-Humid","2","2000s",6,2,1,"1",2094,19280.322,0,17.296,0,9.20741260744986,0,0.00825978987583572,0
"Pacific","South","Urban area","Hot-Humid","2","1970s",5,2,1,"1",1296,12092.5,218.578,0,0,9.33063271604938,0.168655864197531,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","4","* to 1950",6,1,1,"1",1847,6294.046,1036.278,0,0,3.40771304818625,0.561060097455333,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","4","2000s",6,3,2,"3",1188,5456,0,0,0,4.59259259259259,0,0,0
"Pacific","South","Urban area","Hot-Humid","2","* to 1950",5,1,1,"1",2600,15152.941,337.417,0,0,5.82805423076923,0.129775769230769,0,0
"West South Central","West","Urban area","Marine","3","1970s",6,5,1,"1",3792,18951.727,683.816,0,0,4.99781830168776,0.180331223628692,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1980s",6,3,1,"1",5256,17744,0,0,59096.468,3.37595129375951,0,0,11.2436202435312
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1960s",5,5,2,"1",1050,28379.763,0,0,0,27.0283457142857,0,0,0
"Pacific","South","Rural area","Hot-Humid","2","1980s",5,2,1,"1",1886,16465.583,0,31.839,0,8.7304257688229,0,0.0168817603393425,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","5","1990s",6,4,2,"2",1188,11947,0,0,0,10.0563973063973,0,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","5","1980s",2,1,1,"2",625,5235,0,0,0,8.376,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","4","* to 1950",5,2,2,"1",1184,5519.842,565.32,0,0,4.66202871621622,0.477466216216216,0,0
"New England","South","Rural area","Mixed-Humid","2","1970s",9,2,1,"1",3426,17867.115,0,226.621,0,5.21515323992995,0,0.0661474022183304,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","2","1980s",4,2,2,"1",4210,21229.09,0,0,0,5.04253919239905,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1990s",11,5,1,"1",5608,21122.71,1275.562,0,0,3.7665317403709,0.227453994293866,0,0
"New England","South","Urban area","Mixed-Humid","5","1990s",3,1,2,"1",552,4154.42,0,0,0,7.5261231884058,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1990s",7,4,1,"1",3831,16534.118,1616.285,0,0,4.3158752283999,0.421896371704516,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","* to 1950",4,2,2,"1",3658,13565.211,0,0,38041.749,3.70836823400765,0,0,10.3996033351558
"West North Central","West","Urban area","Cold/Very Cold","2","2000s",6,2,1,"1",1862,10476.039,416.645,0,0,5.62622932330827,0.223762083780881,0,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","2","1950s",9,7,1,"1",1650,20557.309,1077.048,0,0,12.4589751515152,0.652756363636364,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1950s",5,2,1,"1",2106,9620.742,0,0,0,4.56825356125356,0,0,0
"New England","South","Rural area","Mixed-Humid","2","1970s",5,4,2,"1",1344,14400.279,0,0,0,10.7144933035714,0,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","5","1990s",4,1,2,"9",663,8486.613,0,0,0,12.8003212669683,0,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","5","2000s",2,3,2,"3",850,4199.792,134.774,0,0,4.94093176470588,0.158557647058824,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","* to 1950",8,5,1,"1",2553,21957.342,453.378,0,0,8.60060399529965,0.177586368977673,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","* to 1950",8,3,1,"1",2777,6046.506,1134.803,0,0,2.17735181850918,0.40864350018005,0,0
"Mountain South","South","Urban cluster","Cold/Very Cold","2","* to 1950",8,1,1,"1",2208,11852.339,989.411,0,0,5.3679071557971,0.448102807971014,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","2000s",11,4,1,"1",4778,23758.613,0,1097.05,0,4.97250167434073,0,0.22960443700293,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","5","* to 1950",3,2,2,"2",1248,10481,0,0,0,8.39823717948718,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1960s",5,2,1,"1",1232,7875.736,318.568,0,0,6.39264285714286,0.258577922077922,0,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","2","1970s",12,3,1,"1",4414,10641.431,1124.435,0,0,2.41083620299049,0.254742863615768,0,0
"New England","South","Rural area","Mixed-Humid","2","2000s",6,4,1,"1",1512,23235.843,0,0,0,15.367621031746,0,0,0
"West North Central","West","Rural area","Cold/Very Cold","4","2000s",4,3,3,"1",1080,4270.528,394.636,0,0,3.95419259259259,0.365403703703704,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1980s",5,1,2,"1",1012,6117.241,0,0,0,6.04470454545455,0,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1960s",6,6,2,"1",1125,6874.966,53.988,0,63279.817,6.11108088888889,0.0479893333333333,0,56.2487262222222
"Mountain North","Midwest","Urban area","Mixed-Humid","2","1990s",7,2,1,"1",3329,23107.647,935.973,0,0,6.9413178131571,0.281157404626014,0,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","2","1960s",6,2,1,"1",1332,13357,468.579,0,0,10.0277777777778,0.351786036036036,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","* to 1950",12,2,1,"1",4472,29291.255,0,806.122,0,6.54992285330948,0,0.180259838998211,0
"West South Central","West","Rural area","Cold/Very Cold","1","1970s",2,1,1,"1",312,13342.12,0,0,0,42.7632051282051,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","3","1980s",7,1,1,"1",1382,4812.618,471.008,0,0,3.48235745296672,0.340816208393632,0,0
"Middle Atlantic","Midwest","Urban cluster","Cold/Very Cold","5","1960s",4,1,2,"1",976,5609.369,0,0,0,5.74730430327869,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1990s",9,4,1,"1",4890,8568.129,1585.282,0,0,1.7521736196319,0.32418854805726,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1990s",6,3,1,"1",1632,19117.851,0,0,0,11.7143694852941,0,0,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","3","1990s",5,2,1,"1",2174,14598.89,0,0,0,6.71522079116835,0,0,0
"New England","South","Rural area","Mixed-Humid","2","2000s",9,4,1,"1",4320,20532.425,822.774,0,0,4.75287615740741,0.190456944444444,0,0
"West South Central","West","Rural area","Marine","2","1980s",6,2,1,"1",2205,23707.93,0,0,0,10.75189569161,0,0,0
"West South Central","West","Urban area","Cold/Very Cold","3","1990s",5,2,1,"1",1055,4984.485,554.929,0,0,4.72463033175355,0.525999052132701,0,0
"Mountain South","South","Urban area","Hot-Humid","2","* to 1950",7,1,1,"1",840,6978.2,243.155,0,0,8.30738095238095,0.289470238095238,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1960s",4,2,2,"2",493,3628,314.676,0,0,7.35902636916836,0.638288032454361,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1960s",7,1,1,"1",2368,20583.871,0,0,0,8.69251309121622,0,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","2","* to 1950",4,2,2,"1",1174,15966.9,0,0,0,13.6004258943782,0,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","1990s",7,3,1,"1",3572,10497.075,0,477.261,0,2.938710806271,0,0.13361170212766,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","2","* to 1950",5,2,2,"1",3287,2004.694,941.323,57.869,0,0.609885609978704,0.286377547916033,0.0176054152722848,0
"Mountain South","South","Urban area","Hot-Humid","2","1950s",4,1,1,"1",1058,6497.961,0,0,0,6.14174007561437,0,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",7,2,2,"1",1348,14555.548,287.953,0,0,10.797884272997,0.213614985163205,0,0
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","1970s",9,2,1,"1",4250,24708.008,0,255.662,0,5.81364894117647,0,0.0601557647058824,0
"Mountain South","South","Urban area","Mixed-Humid","3","1990s",6,1,1,"1",1802,7608.735,242.531,0,0,4.22238346281909,0.134589900110988,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1950s",7,1,3,"1",1850,19992.552,0,11.087,0,10.8067848648649,0,0.00599297297297297,0
"Pacific","South","Urban area","Hot-Humid","5","* to 1950",5,3,2,"1",988,16101.198,0,0,0,16.2967591093117,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","1980s",5,2,2,"1",835,5562.612,0,0,0,6.66181077844311,0,0,0
