"DIVISION","REGIONC","UATYP10","CLIMATE_REGION_PUB","TYPEHUQ","YEARMADERANGE","TOTROOMS","NHSLDMEM","KOWNRENT","ELPAY","TOTSQFT_EN","KWH","CUFEETNG","GALLONLP","BTUFO","elec_per_sqft","ntrlgas_per_sqft","propane_per_sqft","fueloil_per_sqft"
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",5,3,2,"1",1164,3071.03,171.088,0,0,2.63834192439863,0.146982817869416,0,0
"West South Central","West","Urban cluster","Cold/Very Cold","3","1980s",4,7,2,"1",840,18129.75,0,0,0,21.5830357142857,0,0,0
"West South Central","West","Urban area","Cold/Very Cold","2","1950s",4,1,1,"1",780,5292.537,378.486,0,0,6.78530384615385,0.485238461538462,0,0
"Mountain South","South","Urban cluster","Hot-Humid","2","1950s",6,4,1,"1",1430,25181.273,640.645,0,0,17.6092818181818,0.448003496503496,0,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","2","1980s",6,2,1,"1",1448,10975,0,0,0,7.57941988950276,0,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1970s",10,2,1,"1",4402,21836,0,0,0,4.96047251249432,0,0,0
"West South Central","West","Urban area","Marine","2","1950s",4,1,1,"1",854,6701.437,0,0,82234.336,7.84711592505855,0,0,96.2931334894614
"Mountain South","South","Rural area","Mixed-Humid","2","1990s",7,4,1,"1",4351,20673.939,0,0,0,4.75153734773615,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",10,5,1,"1",2840,24110,381.407,0,0,8.48943661971831,0.13429823943662,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","2","1950s",8,2,1,"1",2546,6647,0,0,115075.404,2.6107619795758,0,0,45.1985090337785
"New England","South","Urban area","Mixed-Humid","3","1990s",5,3,2,"1",1804,19147.752,290.095,43.004,0,10.6140532150776,0.160806541019956,0.0238381374722838,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1950s",7,3,1,"1",2680,14761,703.666,0,0,5.50783582089552,0.262561940298507,0,0
"West South Central","West","Urban area","Marine","2","1950s",5,1,1,"1",1238,4184.134,443.282,0,0,3.37975282714055,0.358063004846527,0,0
"Mountain South","South","Rural area","Hot-Humid","2","2010 to 2015",6,4,2,"1",1200,21785.926,0,0,0,18.1549383333333,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","4","1950s",3,1,2,"1",714,879.647,178.599,0,0,1.23199859943978,0.250138655462185,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1980s",8,2,1,"1",2464,17029.688,0,0,0,6.91139935064935,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","1","1980s",6,5,2,"1",1200,26081.591,0,0,0,21.7346591666667,0,0,0
"Pacific","South","Urban area","Hot-Humid","2","1970s",6,3,1,"1",1412,16531.906,0,0,0,11.7081487252125,0,0,0
"West South Central","West","Urban area","Marine","2","* to 1950",6,6,1,"1",1846,8250.933,413.152,0,0,4.469627843987,0.22380931744312,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",6,2,1,"1",1344,5953.603,472.079,0,0,4.42976413690476,0.351249255952381,0,0
